"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","692","should navigate to the inventory page after successful login","chromium","2026-05-22","passed","2026-05-22","Login Tests","tests/login.spec.ts","",""
"","1769","Verify user can remove product from cart","chromium","2026-05-22","passed","2026-05-22","Add To Cart Functionality","tests/addtocart.spec.ts","",""
"","943","Smoke - Add multiple products, checkout and finish order","chromium","2026-05-22","passed","2026-05-22","Login Tests","tests/e2eSmoke.spec.ts","",""
"","759","should show error message for empty username","chromium","2026-05-22","passed","2026-05-22","Login Tests","tests/login.spec.ts","",""
"","1720","Verify cart badge disappears after removing product","chromium","2026-05-22","passed","2026-05-22","Add To Cart Functionality","tests/addtocart.spec.ts","",""
"","938","should show error message for invalid login","chromium","2026-05-22","passed","2026-05-22","Login Tests","tests/login.spec.ts","",""
"","1821","Validate continue shopping button","chromium","2026-05-22","passed","2026-05-22","Add To Cart Functionality","tests/addtocart.spec.ts","",""
"","1764","Verify user can add multiple products","chromium","2026-05-22","passed","2026-05-22","Add To Cart Functionality","tests/addtocart.spec.ts","",""
"","2429","Verify user can add single product to cart @smoke","chromium","2026-05-22","passed","2026-05-22","Add To Cart Functionality","tests/addtocart.spec.ts","",""
"","1785","Verify add multiple products and remove them and verify cart is empty","chromium","2026-05-22","passed","2026-05-22","Add To Cart Functionality","tests/addtocart.spec.ts","",""
"","746","should show error message for empty password","chromium","2026-05-22","passed","2026-05-22","Login Tests","tests/login.spec.ts","",""
"","788","should show error message for empty credentials","chromium","2026-05-22","passed","2026-05-22","Login Tests","tests/login.spec.ts","",""
